Score,Date,Level,Transit,House,Profection,Aspect,Meaning,Actions,Status,T-Rex2_Memo
6583.4,2034-05-18,PEAK,Pluto->N.Node,7,11,Pluto Conj natal N.Node (6.592°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-18 | Pluto->N.Node H7 | Your network is being restructured at a deep level. Pow
6461.6,2026-12-12,PEAK,Neptune->Uranus,6,11,Neptune Sq natal Uranus (0.249°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-12 | Neptune->Uranus H6 | Visionary identity. Lead with story.
6372.6,2027-12-15,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (6.310°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-15 | Neptune->Neptune H6 | Visionary identity. Lead with story.
6157.5,2031-05-14,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (0.049°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-14 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5971.8,2035-05-20,PEAK,Pluto->N.Node,7,11,Pluto Conj natal N.Node (5.090°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-20 | Pluto->N.Node H7 | Your network is being restructured at a deep level. Pow
5799.7,2033-05-16,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (3.048°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-16 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5553.8,2034-03-09,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (0.063°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-09 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
5482.9,2033-03-05,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (4.354°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-05 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
5392.0,2036-10-31,PEAK,Pluto->Moon,7,11,Pluto Conj natal Moon (0.118°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 10-31 | Pluto->Moon H7 | Your network is being restructured at a deep level. Pow
5345.4,2026-12-10,PEAK,Saturn->Saturn,6,11,Saturn Sq natal Saturn (0.107°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming,PEAK 12-10 | Saturn->Saturn H6 | Work discipline crystallising. Build the engine.
5288.1,2031-10-02,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (4.665°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 10-02 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
5279.3,2034-10-29,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (2.209°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 10-29 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5198.1,2028-05-08,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (4.832°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-08 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5149.6,2029-12-18,PEAK,Neptune->Saturn,6,11,Neptune Sq natal Saturn (0.464°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-18 | Neptune->Saturn H6 | Visionary identity. Lead with story.
5083.7,2033-03-04,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (4.353°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-04 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
5042.2,2032-05-15,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (1.509°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-15 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5033.0,2036-03-18,PEAK,Uranus->Neptune,6,11,Uranus Opp natal Neptune (0.715°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-18 | Uranus->Neptune H6 | Home base restructuring. Pivot your operational base.
5024.2,2034-03-16,PEAK,Saturn->Neptune,6,11,Saturn Opp natal Neptune (4.115°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming,PEAK 03-16 | Saturn->Neptune H6 | Work discipline crystallising. Build the engine.
5023.3,2029-05-10,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (3.219°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-10 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5011.1,2027-05-07,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (6.464°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-07 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5005.1,2036-05-21,PEAK,Pluto->N.Node,7,11,Pluto Conj natal N.Node (3.608°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-21 | Pluto->N.Node H7 | Your network is being restructured at a deep level. Pow
4999.5,2029-07-13,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (0.956°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 07-13 | Neptune->Neptune H6 | Visionary identity. Lead with story.
4986.5,2032-10-06,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (0.276°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 10-06 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
4952.8,2033-02-28,PEAK,Saturn->Uranus,6,11,Saturn Opp natal Uranus (1.736°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming,PEAK 02-28 | Saturn->Uranus H6 | Work discipline crystallising. Build the engine.
4908.5,2035-10-20,PEAK,Uranus->Neptune,6,11,Uranus Opp natal Neptune (4.812°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 10-20 | Uranus->Neptune H6 | Home base restructuring. Pivot your operational base.
4876.5,2026-07-06,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (5.723°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 07-06 | Neptune->Neptune H6 | Visionary identity. Lead with story.
4846.2,2030-12-21,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (0.368°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-21 | Neptune->Neptune H6 | Visionary identity. Lead with story.
4800.2,2035-03-14,PEAK,Uranus->Neptune,6,11,Uranus Opp natal Neptune (3.771°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-14 | Uranus->Neptune H6 | Home base restructuring. Pivot your operational base.
4799.2,2034-03-15,PEAK,Saturn->Neptune,6,11,Saturn Opp natal Neptune (4.116°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming,PEAK 03-15 | Saturn->Neptune H6 | Work discipline crystallising. Build the engine.
4788.8,2028-12-16,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (4.085°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-16 | Neptune->Neptune H6 | Visionary identity. Lead with story.
4750.4,2030-07-16,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (3.183°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 07-16 | Neptune->Neptune H6 | Visionary identity. Lead with story.
4749.0,2034-10-15,PEAK,Uranus->Neptune,6,11,Uranus Opp natal Neptune (0.319°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 10-15 | Uranus->Neptune H6 | Home base restructuring. Pivot your operational base.
4736.8,2031-12-23,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (2.599°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-23 | Neptune->Neptune H6 | Visionary identity. Lead with story.
4726.8,2029-09-22,PEAK,Uranus->N.Node,7,11,Uranus Tri natal N.Node (6.286°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 09-22 | Uranus->N.Node H7 | Home base restructuring. Pivot your operational base.
4725.0,2033-03-01,PEAK,Saturn->Uranus,6,11,Saturn Opp natal Uranus (1.737°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming,PEAK 03-01 | Saturn->Uranus H6 | Work discipline crystallising. Build the engine.
4706.1,2031-04-14,PEAK,Jupiter->Uranus,6,11,Jupiter Conj natal Uranus (2.939°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming,"PEAK 04-14 | Jupiter->Uranus H6 | Career explosion window. Visibility, recognition, oppor"
4703.0,2026-12-13,PEAK,Neptune->Uranus,6,11,Neptune Sq natal Uranus (0.249°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-13 | Neptune->Uranus H6 | Visionary identity. Lead with story.
4692.3,2031-04-15,PEAK,Jupiter->Uranus,6,11,Jupiter Conj natal Uranus (2.938°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming,"PEAK 04-15 | Jupiter->Uranus H6 | Career explosion window. Visibility, recognition, oppor"
4663.1,2031-10-24,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (2.440°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 10-24 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
4661.8,2026-12-11,PEAK,Jupiter->N.Node,7,11,Jupiter Opp natal N.Node (2.223°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming,"PEAK 12-11 | Jupiter->N.Node H7 | Career explosion window. Visibility, recognition, oppor"
4658.6,2031-10-04,PEAK,Saturn->N.Node,7,11,Saturn Tri natal N.Node (1.839°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming,"PEAK 10-04 | Saturn->N.Node H7 | Network pruning. Fewer, more meaningful connections. Qu"
4643.7,2032-12-25,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (4.832°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-25 | Neptune->Neptune H6 | Visionary identity. Lead with story.
4628.4,2030-05-12,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (1.625°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-12 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
4601.2,2028-07-10,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (1.271°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 07-10 | Neptune->Neptune H6 | Visionary identity. Lead with story.
4588.9,2034-10-16,PEAK,Uranus->Neptune,6,11,Uranus Opp natal Neptune (0.319°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 10-16 | Uranus->Neptune H6 | Home base restructuring. Pivot your operational base.
4568.5,2034-11-29,PEAK,Jupiter->Neptune,6,11,Jupiter Sq natal Neptune (6.234°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming,"PEAK 11-29 | Jupiter->Neptune H6 | Career explosion window. Visibility, recognition, oppor"
4503.3,2030-01-19,PEAK,Saturn->Pluto,3,11,Saturn Opp natal Pluto (4.409°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming,"PEAK 01-19 | Saturn->Pluto H3 | Network pruning. Fewer, more meaningful connections. Qu"
4492.5,2034-03-12,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (0.065°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-12 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
4446.5,2029-09-23,PEAK,Uranus->Moon,7,11,Uranus Tri natal Moon (0.452°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 09-23 | Uranus->Moon H7 | Home base restructuring. Pivot your operational base.
4443.5,2036-07-29,PEAK,Neptune->Uranus,6,11,Neptune Tri natal Uranus (5.116°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 07-29 | Neptune->Uranus H6 | Visionary identity. Lead with story.
